dependent,independent,corr,eg_stat,eg_pvalue,beta,half_life,cointegrated,tradeable_hl,candidate
DOT-USD,MATIC-USD,0.8224266226504708,-1.997782610325485,0.23766888446911102,0.5542834419201069,39.247339315561696,False,True,False
ETC-USD,SOL-USD,0.7353753143237945,-1.9884560280386503,0.23889356863782413,0.6880948760414421,30.279027516574654,False,True,False
SOL-USD,XLM-USD,0.5410936997917876,-1.922202941429673,0.24759333708493558,0.18106640665382162,23.820001994893246,False,True,False
SOL-USD,BTC-USD,0.5477975138474749,-1.918367185574944,0.24809701456569574,0.45984700051237276,28.741127834899014,False,True,False
SOL-USD,AVAX-USD,0.7686678070506057,-1.8957818167108105,0.2510627251380985,0.6050133523888249,27.469361280104913,False,True,False
LTC-USD,BCH-USD,0.6408100401602609,-1.874318426156466,0.25388110745762377,0.6731417089476838,42.654921272835324,False,True,False
BCH-USD,BTC-USD,0.7457359468873475,-1.8545431300732027,0.25647782416476883,0.6859663496631597,31.667494887111914,False,True,False
ALGO-USD,UNI-USD,0.7463648944941255,-1.8537032793668575,0.25658810591991893,0.9778409552914363,41.869453290033405,False,True,False
ATOM-USD,ALGO-USD,0.5418113768137834,-1.8502650391755036,0.25703958516505765,0.29862511295298755,34.443085476304866,False,True,False
AVAX-USD,MATIC-USD,0.7532557795573166,-1.8386840229039065,0.2585603016343107,0.520483704356218,29.8382978220013,False,True,False
ATOM-USD,SOL-USD,0.5186671516296524,-1.8119816903292358,0.26206661541208903,0.543716569710975,43.59496697711333,False,True,False
LINK-USD,ETH-USD,0.7027707991201166,-1.807899927610617,0.26260259633502503,0.7398522784580222,49.03103630735001,False,True,False
ETC-USD,MATIC-USD,0.7320506236654828,-1.8050830605245236,0.262972482368259,0.3725386384422442,26.166169086830795,False,True,False
ALGO-USD,BCH-USD,0.5438328544113408,-1.7804750444664432,0.26620378905305714,0.9439448590925617,80.39597977439274,False,True,False
LTC-USD,ETH-USD,0.5215830622578241,-1.7536673006554568,0.26972394450062936,0.4442978050999022,44.34183706829337,False,True,False
XLM-USD,BCH-USD,0.6360941422912582,-1.7288204444639612,0.2729866135560421,1.7347286771697519,54.94109660384015,False,True,False
DOT-USD,ETC-USD,0.8812090711102302,-1.7071904424456321,0.2758268738171319,1.1670339651658557,25.664591686324226,False,True,False
ALGO-USD,AVAX-USD,0.5466496506072785,-1.7048004444078135,0.276140707188259,0.8183535279426281,93.62513760394,False,True,False
UNI-USD,MATIC-USD,0.5029643905131926,-1.6895298305359054,0.2781459089310084,0.3971154353816841,47.7066581764593,False,True,False
XTZ-USD,LTC-USD,0.5278728662891254,-1.6762833862041617,0.2798853146603425,0.6502209153573978,53.33733432825097,False,True,False
DOT-USD,ALGO-USD,0.5381975000278483,-1.655175922824025,0.2826569597762425,0.3506548680178244,53.56797540856828,False,True,False
ALGO-USD,ETC-USD,0.6517643005534991,-1.638289284349764,0.2848743635546236,1.324820102458885,57.172062894283144,False,True,False
UNI-USD,FIL-USD,0.5652545409111732,-1.622022324153339,0.2870103966708241,0.536103306136639,56.83692997736575,False,True,False
ADA-USD,BCH-USD,0.6198193011189226,-1.6201448829796423,0.2872569256149114,1.0718014233642061,60.838014772509254,False,True,False
ETC-USD,FIL-USD,0.7797662307216242,-1.5988893969779923,0.2900480077502472,0.4766718743645633,33.197178431438935,False,True,False
AVAX-USD,LINK-USD,0.574148568150511,-1.5949644323991656,0.29056339933042274,0.5127619298052675,62.017982175346745,False,True,False
ALGO-USD,XLM-USD,0.8994523528931613,-1.5915079110893688,0.29101727909009667,0.572465323796513,26.532190891410472,False,True,False
UNI-USD,LTC-USD,0.6354955707329244,-1.5895765888196722,0.29127088322241845,0.8014925691036773,41.392177576497154,False,True,False
XTZ-USD,LINK-USD,0.6582166605351142,-1.5728488028704823,0.2934674278943625,0.6560241800735923,54.0973460348126,False,True,False
XTZ-USD,FIL-USD,0.7614809082057716,-1.547930059946135,0.2967395364787427,0.7053555188957706,45.392562770939556,False,True,False
ADA-USD,UNI-USD,0.5939995606342222,-1.5273215715218602,0.29944566062348366,0.7753025128525339,63.63623116207287,False,True,False
DOT-USD,SOL-USD,0.5061086997424871,-1.5272464482838328,0.29945552514164103,0.6271733793531651,69.3427966420614,False,True,False
XTZ-USD,ADA-USD,0.5492187234751754,-1.5270607263423908,0.2994799125018199,0.4109650509825512,47.964553878599006,False,True,False
ETC-USD,LINK-USD,0.630634083943817,-1.523002858360964,0.3000127557795333,0.41479591469398275,45.028153191964336,False,True,False
ALGO-USD,XTZ-USD,0.7351890587531255,-1.5210542225395138,0.30026863337410364,0.9862146060897847,46.90662264658145,False,True,False
